"","V1","V2","V3","V4"
"1","        ","rns.an.fn.max","              negative","              positive"
"2","mg      ","             ","                      ","                      "
"3","negative","             ","(0.713, 0.831, 0.915) ","(0.0846, 0.169, 0.287)"
"4","positive","             ","(0.24, 0.382, 0.541)  ","(0.459, 0.618, 0.76)  "
