"","V1","V2","V3","V4"
"1","      ","mg","             negative","             positive"
"2","sex   ","  ","                     ","                     "
"3","male  ","  ","(0.3, 0.44, 0.592)   ","(0.408, 0.56, 0.7)   "
"4","female","  ","(0.525, 0.662, 0.784)","(0.216, 0.338, 0.475)"
