"","V1","V2","V3","V4"
"1","        ","endrophonium","              negative","              positive"
"2","mg      ","            ","                      ","                      "
"3","negative","            ","(0.768, 0.886, 0.959) ","(0.0407, 0.114, 0.232)"
"4","positive","            ","(0.0202, 0.0833, 0.21)","(0.79, 0.917, 0.98)   "
